"","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy"
"Class: H_agrestis",1,0.994949494949495,0.874999999999999,1,0.875,1,0.933333333333333,0.0341463414634146,0.0341463414634146,0.0390243902439024,0.997474747474747
"Class: H_angustifolius",0.857142857142857,1,1,0.994974874371859,1,0.857142857142857,0.923076923076923,0.0341463414634146,0.0292682926829268,0.0292682926829268,0.928571428571429
"Class: H_annuus",0.928571428571429,0.994764397905759,0.928571428571429,0.994764397905759,0.928571428571429,0.928571428571429,0.928571428571429,0.0682926829268293,0.0634146341463415,0.0682926829268293,0.961667913238594
"Class: H_argophyllus",0.857142857142857,1,1,0.994974874371859,1,0.857142857142857,0.923076923076923,0.0341463414634146,0.0292682926829268,0.0292682926829268,0.928571428571429
"Class: H_atrorubens",0.857142857142857,0.98989898989899,0.750000000000001,0.99492385786802,0.75,0.857142857142857,0.8,0.0341463414634146,0.0292682926829268,0.0390243902439024,0.923520923520924
"Class: H_carnosus",1,1,1,1,1,1,1,0.0341463414634146,0.0341463414634146,0.0341463414634146,1
"Class: H_cusickii",1,0.989949748743719,0.749999999999999,1,0.75,1,0.857142857142857,0.0292682926829268,0.0292682926829268,0.0390243902439024,0.994974874371859
"Class: H_debili_ssp_tardiflorus",0.857142857142857,1,1,0.994974874371859,1,0.857142857142857,0.923076923076923,0.0341463414634146,0.0292682926829268,0.0292682926829268,0.928571428571429
"Class: H_divaricatus",1,1,1,1,1,1,1,0.0146341463414634,0.0146341463414634,0.0146341463414634,1
"Class: H_floridanus",0.857142857142857,0.98989898989899,0.750000000000001,0.99492385786802,0.75,0.857142857142857,0.8,0.0341463414634146,0.0292682926829268,0.0390243902439024,0.923520923520924
"Class: H_giganteus",0.857142857142857,0.984848484848485,0.666666666666667,0.994897959183674,0.666666666666667,0.857142857142857,0.75,0.0341463414634146,0.0292682926829268,0.0439024390243902,0.920995670995671
"Class: H_grosseserratus",0.857142857142857,0.984848484848485,0.666666666666667,0.994897959183674,0.666666666666667,0.857142857142857,0.75,0.0341463414634146,0.0292682926829268,0.0439024390243902,0.920995670995671
"Class: H_heterophyllus",0.666666666666667,1,1,0.990049751243781,1,0.666666666666667,0.8,0.0292682926829268,0.0195121951219512,0.0195121951219512,0.833333333333333
"Class: H_longifolius",1,0.994949494949495,0.874999999999999,1,0.875,1,0.933333333333333,0.0341463414634146,0.0341463414634146,0.0390243902439024,0.997474747474747
"Class: H_maximiliani",0.571428571428571,0.98989898989899,0.666666666666668,0.984924623115578,0.666666666666667,0.571428571428571,0.615384615384615,0.0341463414634146,0.0195121951219512,0.0292682926829268,0.780663780663781
"Class: H_microcephalus",0.777777777777778,1,1,0.98989898989899,1,0.777777777777778,0.875,0.0439024390243902,0.0341463414634146,0.0341463414634146,0.888888888888889
"Class: H_mollis",1,0.994974874371859,0.857142857142857,1,0.857142857142857,1,0.923076923076923,0.0292682926829268,0.0292682926829268,0.0341463414634146,0.99748743718593
"Class: H_neglectus",0.666666666666667,0.989949748743719,0.666666666666666,0.989949748743719,0.666666666666667,0.666666666666667,0.666666666666667,0.0292682926829268,0.0195121951219512,0.0292682926829268,0.828308207705193
"Class: H_niveu_ssp_tephrodes",1,0.994974874371859,0.857142857142857,1,0.857142857142857,1,0.923076923076923,0.0292682926829268,0.0292682926829268,0.0341463414634146,0.99748743718593
"Class: H_occidentali_ssp_occidentalis",0.6,0.995,0.75,0.990049751243781,0.75,0.6,0.666666666666667,0.024390243902439,0.0146341463414634,0.0195121951219512,0.7975
"Class: H_petiolari_ssp_petiolaris",0.428571428571429,1,1,0.98019801980198,1,0.428571428571429,0.6,0.0341463414634146,0.0146341463414634,0.0146341463414634,0.714285714285714
"Class: H_porteri",1,0.98989898989899,0.777777777777779,1,0.777777777777778,1,0.875,0.0341463414634146,0.0341463414634146,0.0439024390243902,0.994949494949495
"Class: H_praeco_ssp_runyonii",0.857142857142857,0.994949494949495,0.857142857142856,0.994949494949495,0.857142857142857,0.857142857142857,0.857142857142857,0.0341463414634146,0.0292682926829268,0.0341463414634146,0.926046176046176
"Class: H_radula",0.928571428571429,1,1,0.994791666666667,1,0.928571428571429,0.962962962962963,0.0682926829268293,0.0634146341463415,0.0634146341463415,0.964285714285714
"Class: H_salicifolius",1,0.98989898989899,0.777777777777779,1,0.777777777777778,1,0.875,0.0341463414634146,0.0341463414634146,0.0439024390243902,0.994949494949495
"Class: H_silphioides",0.785714285714286,0.984293193717278,0.785714285714286,0.984293193717278,0.785714285714286,0.785714285714286,0.785714285714286,0.0682926829268293,0.0536585365853659,0.0682926829268293,0.885003739715782
"Class: H_verticillatus",0.25,0.990049751243781,0.333333333333334,0.985148514851485,0.333333333333333,0.25,0.285714285714286,0.0195121951219512,0.0048780487804878,0.0146341463414634,0.620024875621891
"Class: P_tenuifolius",0.857142857142857,1,1,0.994974874371859,1,0.857142857142857,0.923076923076923,0.0341463414634146,0.0292682926829268,0.0292682926829268,0.928571428571429
